序号,代码,名称,最新价,10日涨跌幅,10日主力净流入-净额,10日主力净流入-净占比,10日超大单净流入-净额,10日超大单净流入-净占比,10日大单净流入-净额,10日大单净流入-净占比,10日中单净流入-净额,10日中单净流入-净占比,10日小单净流入-净额,10日小单净流入-净占比
1,000977,浪潮信息,44.35,12.85,2407393504.0,5.2,2473023648.0,5.34,-65630144.0,-0.14,-1816627936.0,-3.92,-590765552.0,-1.28
2,000625,长安汽车,17.17,4.0,1146005184.0,2.6,1324514080.0,3.0,-178508896.0,-0.4,-996215920.0,-2.26,-149789232.0,-0.34
3,002475,立讯精密,29.75,7.95,881178440.0,2.18,510675816.0,1.26,370502624.0,0.92,-173196704.0,-0.43,-707981680.0,-1.75
4,002625,光启技术,20.28,39.67,808764016.0,6.38,572117049.0,4.51,236646967.0,1.87,-256696195.0,-2.02,-552067809.0,-4.35
5,000858,五 粮 液,153.1,2.37,661530290.0,2.28,176609362.0,0.61,484920928.0,1.67,-781157168.0,-2.69,119626848.0,0.41
6,601899,紫金矿业,16.1,4.61,651856580.0,2.3,377954100.0,1.33,273902480.0,0.96,-523896240.0,-1.85,-127960384.0,-0.45
7,601169,北京银行,5.65,6.0,605814840.0,15.5,759274687.0,19.43,-153459847.0,-3.93,-248095326.0,-6.35,-357719513.0,-9.15
8,600031,三一重工,14.45,4.11,605690485.0,5.1,175195744.0,1.47,430494741.0,3.62,-245138859.0,-2.06,-360551627.0,-3.03
9,600160,巨化股份,23.42,21.92,602294154.0,4.95,148920789.0,1.22,453373365.0,3.73,96273586.0,0.79,-698567731.0,-5.74
10,300567,精测电子,72.86,10.73,455593904.0,9.39,175468734.0,3.62,280125170.0,5.77,-93905295.0,-1.94,-361688607.0,-7.45
11,600900,长江电力,24.85,0.65,442159088.0,2.28,566397680.0,2.92,-124238592.0,-0.64,-1034957264.0,-5.33,592798167.0,3.05
12,301536,N星宸,48.1,197.65,409320144.0,32.77,107381094.0,8.6,301939050.0,24.17,65898192.0,5.28,-475218336.0,-38.05
13,601088,中国神华,38.64,3.26,397097449.0,2.83,-44144435.0,-0.32,441241884.0,3.15,-124216400.0,-0.89,-272881088.0,-1.95
