序号,名称,5日涨跌幅,5日主力净流入-净额,5日主力净流入-净占比,5日超大单净流入-净额,5日超大单净流入-净占比,5日大单净流入-净额,5日大单净流入-净占比,5日中单净流入-净额,5日中单净流入-净占比,5日小单净流入-净额,5日小单净流入-净占比,5日主力净流入最大股
1,工程机械,-2.23,587830544.0,1.8,420474960.0,1.29,167355584.0,0.51,-352657904.0,-1.08,-303735968.0,-0.93,三一重工
2,公用事业,-1.74,17201464.0,0.25,9879786.0,0.14,7321678.0,0.11,-35634064.0,-0.51,18432608.0,0.27,京能热力
3,贵金属,-1.52,4555408.0,0.02,-135460896.0,-0.47,140016304.0,0.48,-132618592.0,-0.46,128063248.0,0.44,紫金矿业
4,橡胶制品,-3.34,-169287338.0,-1.04,4911574.0,0.03,-174198912.0,-1.07,-20285872.0,-0.12,138085408.0,0.85,赛轮轮胎
5,化纤行业,-0.65,-177096647.0,-0.9,-735287.0,0.0,-176361360.0,-0.9,225038192.0,1.14,-50913616.0,-0.26,中简科技
6,农药兽药,-2.72,-179155378.0,-1.12,64361534.0,0.4,-243516912.0,-1.52,252205920.0,1.57,-89412512.0,-0.56,雅本化学
7,玻璃玻纤,-2.42,-222848747.0,-1.29,-43690123.0,-0.25,-179158624.0,-1.04,194233840.0,1.12,120671104.0,0.7,戈碧迦
8,燃气,-2.67,-232318850.0,-2.99,-70568585.0,-0.91,-161750265.0,-2.08,19168208.0,0.25,211559376.0,2.73,蓝天燃气
9,房地产服务,-4.38,-257954356.0,-2.68,-185041540.0,-1.93,-72912816.0,-0.76,70843008.0,0.74,187111376.0,1.95,北辰实业
10,美容护理,-4.43,-271151775.0,-2.12,-74299503.0,-0.58,-196852272.0,-1.54,116884272.0,0.92,154267552.0,1.21,水羊股份
11,家用轻工,-2.7,-277321998.0,-2.19,-54305054.0,-0.43,-223016944.0,-1.76,65364736.0,0.52,210096416.0,1.66,晨光股份
12,医药商业,-4.23,-282150251.0,-2.11,-112521835.0,-0.84,-169628416.0,-1.27,2678480.0,0.02,279471808.0,2.09,国药股份
13,珠宝首饰,-4.37,-321461297.0,-4.22,-69913792.0,-0.92,-251547505.0,-3.3,-71498192.0,-0.94,392959504.0,5.15,老凤祥
14,工程咨询服务,-3.18,-322815406.0,-1.66,76367122.0,0.39,-399182528.0,-2.06,-169960496.0,-0.88,486303664.0,2.51,深城交
15,汽车服务,-6.43,-324088720.0,-4.4,-131774510.0,-1.79,-192314210.0,-2.61,-66080240.0,-0.9,375090208.0,5.09,中国汽研
16,采掘行业,-0.61,-326957319.0,-2.33,21089833.0,0.15,-348047152.0,-2.48,308368560.0,2.2,18588720.0,0.13,海油工程
17,装修建材,-2.02,-337057930.0,-1.21,23669270.0,0.08,-360727200.0,-1.29,311424368.0,1.12,25633568.0,0.09,亚振家居
18,铁路公路,-1.78,-338545012.0,-3.15,-163667172.0,-1.52,-174877840.0,-1.63,-27679536.0,-0.26,366224560.0,3.41,东莞控股
19,专业服务,-3.47,-376995929.0,-1.61,50762231.0,0.22,-427758160.0,-1.83,149470368.0,0.64,151354864.0,0.65,实朴检测
20,航运港口,-2.06,-382603481.0,-2.04,-254304633.0,-1.36,-128298848.0,-0.68,85401024.0,0.46,266349008.0,1.42,招商港口
21,化肥行业,-3.46,-394684143.0,-2.62,-238087951.0,-1.58,-156596192.0,-1.04,99532576.0,0.66,295151600.0,1.96,天禾股份
22,水泥建材,-4.51,-397811234.0,-2.73,-199631058.0,-1.37,-198180176.0,-1.36,-91126320.0,-0.63,488937536.0,3.36,青松建化
23,包装材料,-2.27,-399976926.0,-2.91,-80758110.0,-0.59,-319218816.0,-2.32,-32809408.0,-0.24,430107824.0,3.13,顺灏股份
24,航空机场,-2.11,-442549315.0,-3.21,-19561811.0,-0.14,-422987504.0,-3.07,-116887808.0,-0.85,559437104.0,4.06,深圳机场
25,物流行业,-2.78,-480323696.0,-1.51,312424464.0,0.98,-792748160.0,-2.49,-297472928.0,-0.93,770373040.0,2.42,顺丰控股
26,综合行业,-4.46,-484088086.0,-5.76,-208696066.0,-2.48,-275392020.0,-3.28,-65039680.0,-0.77,549127776.0,6.54,*ST园城
27,装修装饰,-3.85,-528763140.0,-4.67,-112729124.0,-1.0,-416034016.0,-3.68,46840224.0,0.41,473321504.0,4.18,时空科技
28,石油行业,-3.51,-570091776.0,-2.01,-445545488.0,-1.57,-124546288.0,-0.44,-133740320.0,-0.47,703832144.0,2.48,中国石油
29,教育,-8.17,-622746782.0,-4.21,-265086734.0,-1.79,-357660048.0,-2.42,-237861120.0,-1.61,860607888.0,5.82,行动教育
30,交运设备,-3.73,-647441526.0,-2.78,6176362.0,0.03,-653617888.0,-2.81,-56572224.0,-0.24,684784848.0,2.94,宗申动力
31,船舶制造,-5.42,-648834390.0,-3.97,-273314678.0,-1.67,-375519712.0,-2.3,27533888.0,0.17,621300512.0,3.8,中船防务
32,电源设备,-6.08,-658956759.0,-3.24,-197253303.0,-0.97,-461703456.0,-2.27,132022528.0,0.65,526934240.0,2.59,中恒电气
33,多元金融,-6.81,-660938946.0,-5.18,-284069506.0,-2.23,-376869440.0,-2.96,68173872.0,0.53,592765056.0,4.65,渤海租赁
34,煤炭行业,-3.95,-695252368.0,-1.33,-787118464.0,-1.51,91866096.0,0.18,-94422336.0,-0.18,789674592.0,1.52,中国神华
35,家电行业,-1.43,-702854384.0,-0.89,87212384.0,0.11,-790066768.0,-1.0,-404460544.0,-0.51,1099540480.0,1.39,美的集团
36,非金属材料,-4.56,-715003552.0,-2.32,-243593152.0,-0.79,-471410400.0,-1.53,231658608.0,0.75,455321392.0,1.48,N平安电
37,房地产开发,-1.01,-782487776.0,-1.19,-189642944.0,-0.29,-592844832.0,-0.9,375032784.0,0.57,407455280.0,0.62,招商蛇口
38,钢铁行业,-2.63,-797879328.0,-2.78,-489468240.0,-1.71,-308411088.0,-1.08,509751056.0,1.78,284513088.0,0.99,海南矿业
39,电子化学品,-7.02,-816421356.0,-3.32,-232881052.0,-0.95,-583540304.0,-2.37,-51469152.0,-0.21,867890480.0,3.53,金宏气体
40,仪器仪表,-5.58,-821928139.0,-2.86,-106185531.0,-0.37,-715742608.0,-2.49,-204171696.0,-0.71,926899088.0,3.22,精测电子
41,商业百货,-4.69,-829749776.0,-3.16,-454983040.0,-1.73,-374766736.0,-1.43,134941376.0,0.51,694808432.0,2.65,厦门信达
42,贸易行业,-2.89,-848352926.0,-2.71,-86873374.0,-0.28,-761479552.0,-2.44,-16523520.0,-0.05,864687312.0,2.77,龙宇股份
43,化学原料,-3.04,-879873008.0,-2.46,-256803696.0,-0.72,-623069312.0,-1.74,274734352.0,0.77,565323536.0,1.58,三祥新材
44,造纸印刷,-2.03,-895780032.0,-3.2,-303463600.0,-1.08,-592316432.0,-2.11,-258019824.0,-0.92,1142588064.0,4.08,太阳纸业
45,电力行业,-1.18,-922251504.0,-1.39,-414564592.0,-0.62,-507686912.0,-0.76,-111193824.0,-0.17,1033445584.0,1.55,长江电力
46,纺织服装,-2.8,-1040351041.0,-3.23,-388333441.0,-1.21,-652017600.0,-2.03,201909824.0,0.63,833666272.0,2.59,海澜之家
47,电池,-4.67,-1043898208.0,-1.2,-519963520.0,-0.6,-523934688.0,-0.6,873459200.0,1.0,131984720.0,0.15,宁德时代
48,风电设备,-5.9,-1118695773.0,-4.7,-450485053.0,-1.89,-668210720.0,-2.81,109019040.0,0.46,1009676752.0,4.24,日月股份
49,环保行业,-4.23,-1141463368.0,-2.74,-210394072.0,-0.51,-931069296.0,-2.24,173386736.0,0.42,956163856.0,2.3,瀚蓝环境
50,旅游酒店,-4.37,-1143713377.0,-4.01,-538954481.0,-1.89,-604758896.0,-2.12,59152720.0,0.21,1084560656.0,3.8,峨眉山Ａ
51,保险,-2.86,-1165213456.0,-5.95,-858279888.0,-4.38,-306933568.0,-1.57,445620240.0,2.28,719593232.0,3.68,天茂集团
52,生物制品,-5.18,-1212030784.0,-3.05,-538224064.0,-1.35,-673806720.0,-1.7,361540720.0,0.91,777264144.0,1.96,万泽股份
53,中药,-3.63,-1231955312.0,-2.58,-627456640.0,-1.31,-604498672.0,-1.26,401695808.0,0.84,795374992.0,1.66,莱茵生物
54,酿酒行业,-4.42,-1302429920.0,-1.88,-990822032.0,-1.43,-311607888.0,-0.45,-533063792.0,-0.77,1835493984.0,2.65,古井贡酒
55,计算机设备,-5.99,-1310248256.0,-1.11,60470976.0,0.05,-1370719232.0,-1.16,-1687307008.0,-1.43,2976783872.0,2.52,浪潮信息
56,食品饮料,-2.59,-1324207360.0,-2.06,-648764480.0,-1.01,-675442880.0,-1.05,473898816.0,0.74,809953376.0,1.26,良品铺子
57,银行,-0.16,-1331547568.0,-1.43,-1198816064.0,-1.28,-132731504.0,-0.14,304834368.0,0.33,1026713264.0,1.1,工商银行
58,医疗器械,-6.45,-1360071168.0,-2.24,-1015051936.0,-1.67,-345019232.0,-0.57,600761408.0,0.99,722158336.0,1.19,新产业
59,通信服务,-5.84,-1366609856.0,-2.29,-62801424.0,-0.11,-1303808432.0,-2.19,-360887616.0,-0.61,1727497264.0,2.9,中国电信
60,电机,-6.8,-1592624896.0,-4.9,-733057248.0,-2.26,-859567648.0,-2.64,104293360.0,0.32,1454809120.0,4.48,湘电股份
61,小金属,-4.93,-1640344784.0,-4.18,-816617440.0,-2.08,-823727344.0,-2.1,-23422816.0,-0.06,1663767568.0,4.23,洛阳钼业
62,能源金属,-8.37,-1705382286.0,-7.29,-818652686.0,-3.5,-886729600.0,-3.79,119320896.0,0.51,1586061376.0,6.78,寒锐钴业
63,化学制药,-4.49,-1791370304.0,-2.24,-1045634288.0,-1.31,-745736016.0,-0.93,842145280.0,1.05,895812864.0,1.12,恒瑞医药
64,航天航空,-3.91,-1850675696.0,-4.47,-883206464.0,-2.13,-967469232.0,-2.34,309747280.0,0.75,1539078704.0,3.72,恒宇信通
65,塑料制品,-4.91,-1931790814.0,-5.27,-697827166.0,-1.9,-1233963648.0,-3.36,166515456.0,0.45,1746533392.0,4.76,蓝晓科技
66,电网设备,-4.92,-2006825744.0,-2.76,-424977056.0,-0.58,-1581848688.0,-2.18,302117296.0,0.42,1627993344.0,2.24,精达股份
67,有色金属,-3.34,-2022736048.0,-2.38,-963702560.0,-1.13,-1059033488.0,-1.24,347911456.0,0.41,1659633152.0,1.95,西部矿业
68,化学制品,-4.02,-2057480592.0,-2.36,-497397792.0,-0.57,-1560082800.0,-1.79,907356416.0,1.04,1077350400.0,1.23,巨化股份
69,农牧饲渔,-5.21,-2075952688.0,-3.86,-971715200.0,-1.8,-1104237488.0,-2.05,444275712.0,0.83,1583288160.0,2.94,播恩集团
70,光学光电子,-6.39,-2965667936.0,-2.79,-495337840.0,-0.47,-2470330096.0,-2.33,-524643328.0,-0.49,3479458048.0,3.28,TCL科技
71,工程建设,-4.5,-3076340480.0,-4.31,-1805255088.0,-2.53,-1271085392.0,-1.78,721228272.0,1.01,2343548528.0,3.28,中国铁建
72,医疗服务,-6.76,-3445069360.0,-5.27,-1812232752.0,-2.77,-1632836608.0,-2.5,564961312.0,0.86,2880108432.0,4.41,泰格医药
73,游戏,-8.5,-3994858832.0,-5.76,-2021180320.0,-2.92,-1973678512.0,-2.85,-380832272.0,-0.55,4375690672.0,6.31,文投控股
74,光伏设备,-7.25,-4668702096.0,-5.14,-2184108064.0,-2.41,-2484594032.0,-2.74,612999936.0,0.68,4002760448.0,4.41,阳光电源
75,汽车零部件,-3.81,-4776392016.0,-3.0,-1020973136.0,-0.64,-3755418880.0,-2.35,-216681984.0,-0.14,4903113472.0,3.07,拓普集团
76,通用设备,-5.73,-4867513104.0,-4.25,-1304320832.0,-1.14,-3563192272.0,-3.11,-221063680.0,-0.19,4886746624.0,4.27,巨星科技
77,电子元件,-6.39,-4938277952.0,-3.59,-1721056320.0,-1.25,-3217221632.0,-2.34,-642860032.0,-0.47,5474155776.0,3.98,N星宸
78,消费电子,-6.56,-5224647584.0,-3.14,-1819202208.0,-1.09,-3405445376.0,-2.05,-1359691264.0,-0.82,6490582016.0,3.9,立讯精密
79,专用设备,-6.04,-5482498960.0,-3.43,-1418740880.0,-0.89,-4063758080.0,-2.54,-986775040.0,-0.62,6297266176.0,3.94,光启技术
80,汽车整车,-5.99,-5655767072.0,-5.16,-3486394400.0,-3.18,-2169372672.0,-1.98,176121600.0,0.16,5479645696.0,5.0,海马汽车
81,通信设备,-6.58,-7369282688.0,-3.21,-2750547840.0,-1.2,-4618734848.0,-2.01,-1569654528.0,-0.68,8911973120.0,3.88,北斗星通
82,半导体,-9.38,-7539936000.0,-3.5,-4347084288.0,-2.02,-3192851712.0,-1.48,956528128.0,0.44,6575504384.0,3.05,韦尔股份
83,证券,-5.93,-7721926352.0,-8.31,-4706876784.0,-5.07,-3015049568.0,-3.24,1477142016.0,1.59,6244784208.0,6.72,锦龙股份
84,文化传媒,-4.76,-8224496128.0,-3.15,-3477704704.0,-1.33,-4746791424.0,-1.82,-530771200.0,-0.2,8722060544.0,3.34,紫天科技
85,软件开发,-7.65,-10197660576.0,-4.09,-4686804384.0,-1.88,-5510856192.0,-2.21,-304760320.0,-0.12,10420792320.0,4.18,四维图新
86,互联网服务,-6.71,-11141276016.0,-4.36,-4825226096.0,-1.89,-6316049920.0,-2.47,237873920.0,0.09,10897364224.0,4.26,国联股份
