序号,代码,名称,最新价,5日涨跌幅,5日主力净流入-净额,5日主力净流入-净占比,5日超大单净流入-净额,5日超大单净流入-净占比,5日大单净流入-净额,5日大单净流入-净占比,5日中单净流入-净额,5日中单净流入-净占比,5日小单净流入-净额,5日小单净流入-净占比
38,601169,北京银行,5.65,0.36,141143956.0,7.68,150122084.0,8.17,-8978128.0,-0.49,-65335929.0,-3.56,-75808027.0,-4.12
39,600160,巨化股份,23.42,6.17,140126512.0,2.44,26993807.0,0.47,113132705.0,1.97,171256576.0,2.98,-311383076.0,-5.41
40,603050,科林电气,24.74,7.61,139279688.0,7.45,105622673.0,5.65,33657015.0,1.8,-23018685.0,-1.23,-116261002.0,-6.22
41,300343,联创股份,6.8,21.43,138169285.0,4.78,122041992.0,4.22,16127293.0,0.56,-29223467.0,-1.01,-108945827.0,-3.77
42,600309,万华化学,80.45,4.21,133339569.0,2.43,40378570.0,0.74,92960999.0,1.7,120440977.0,2.2,-253780537.0,-4.63
43,000596,古井贡酒,262.44,-1.5,127678709.0,6.07,58084139.0,2.76,69594570.0,3.31,-86915698.0,-4.13,-40763011.0,-1.94
44,300563,神宇股份,15.48,16.74,127285900.0,7.61,138760768.0,8.3,-11474868.0,-0.69,-36523166.0,-2.18,-90762731.0,-5.43
45,601857,中国石油,9.25,0.87,126689092.0,1.68,-129941452.0,-1.72,256630544.0,3.4,-85333440.0,-1.13,-41355638.0,-0.55
46,300075,数字政通,17.49,6.71,126177085.0,2.68,177418736.0,3.76,-51241651.0,-1.09,-115406079.0,-2.45,-10771022.0,-0.23
47,300073,当升科技,38.04,7.67,123539746.0,3.31,43829925.0,1.18,79709821.0,2.14,24676195.0,0.66,-148215941.0,-3.97
48,601058,赛轮轮胎,14.57,5.27,121051815.0,7.46,55932071.0,3.45,65119744.0,4.01,75455462.0,4.65,-196507278.0,-12.11
49,600900,长江电力,24.85,-0.36,120668608.0,1.29,312661440.0,3.34,-191992832.0,-2.05,-497299088.0,-5.31,376630474.0,4.02
50,600325,华发股份,7.14,4.85,119337568.0,7.71,120124856.0,7.76,-787288.0,-0.05,-83594238.0,-5.4,-35743327.0,-2.31
51,600416,湘电股份,13.26,-7.14,119178848.0,9.13,42164491.0,3.23,77014357.0,5.9,-51334257.0,-3.93,-67844593.0,-5.19
52,600198,大唐电信,7.21,18.59,118186957.0,8.04,132141457.0,8.99,-13954500.0,-0.95,-16176443.0,-1.1,-102010513.0,-6.94
53,300261,雅本化学,7.4,19.74,117030013.0,8.0,152792399.0,10.44,-35762386.0,-2.44,-20118242.0,-1.38,-96911771.0,-6.62
54,300347,泰格医药,52.25,3.9,111591877.0,1.81,-83078286.0,-1.35,194670163.0,3.15,347585840.0,5.63,-459177708.0,-7.44
55,300832,新产业,67.29,-12.5,110403938.0,5.83,10833658.0,0.57,99570280.0,5.26,-153673880.0,-8.11,43269942.0,2.28
56,601985,中国核电,8.95,3.23,108106044.0,2.52,-144025836.0,-3.35,252131880.0,5.87,-76910779.0,-1.79,-31195242.0,-0.73
57,603338,浙江鼎力,56.08,-2.37,107678491.0,8.57,62125393.0,4.95,45553098.0,3.63,-40983272.0,-3.26,-66695216.0,-5.31
58,603516,淳中科技,27.69,-4.55,106721054.0,6.19,24950439.0,1.45,81770615.0,4.74,-48942086.0,-2.84,-57778968.0,-3.35
59,301091,深城交,35.88,26.03,106354623.0,3.13,209004544.0,6.15,-102649921.0,-3.02,-133632257.0,-3.93,27277636.0,0.8
60,002869,金溢科技,21.78,10.56,105553699.0,5.21,133949705.0,6.61,-28396006.0,-1.4,-72452852.0,-3.58,-33100846.0,-1.63
61,002097,山河智能,8.29,4.41,104465625.0,2.88,189798521.0,5.23,-85332896.0,-2.35,-89669870.0,-2.47,-14795757.0,-0.41
62,688777,中控技术,46.36,2.73,103533733.0,3.68,46275323.0,1.64,57258410.0,2.03,-8343460.0,-0.3,-95190271.0,-3.38
63,002999,天禾股份,6.75,7.83,103111103.0,11.76,134170663.0,15.3,-31059560.0,-3.54,-37664375.0,-4.3,-65446728.0,-7.47
64,000680,山推股份,7.86,18.73,99749213.0,4.5,117066108.0,5.28,-17316895.0,-0.78,-29198011.0,-1.32,-70551206.0,-3.18
65,002565,顺灏股份,3.16,4.98,96946864.0,16.53,98649175.0,16.82,-1702311.0,-0.29,-56772397.0,-9.68,-40174465.0,-6.85
66,300502,新易盛,67.97,-9.64,95243520.0,0.46,-47450352.0,-0.23,142693872.0,0.69,-153662352.0,-0.74,58418832.0,0.28
67,003816,中国广核,3.98,2.58,92559689.0,3.48,52552239.0,1.98,40007450.0,1.5,-31684245.0,-1.19,-60875444.0,-2.29
68,688111,金山办公,298.99,-9.96,92029290.0,1.3,20872378.0,0.3,71156912.0,1.01,-67886032.0,-0.96,-24143270.0,-0.34
69,000701,厦门信达,4.79,5.04,90661883.0,8.47,65606665.0,6.13,25055218.0,2.34,4687304.0,0.44,-95349186.0,-8.91
70,000415,渤海租赁,2.26,5.12,88847527.0,12.44,103747770.0,14.53,-14900243.0,-2.09,-51481250.0,-7.21,-37366276.0,-5.23
71,603721,中广天择,43.0,11.05,88404971.0,1.15,237002834.0,3.09,-148597863.0,-1.94,-344748160.0,-4.49,256343179.0,3.34
72,000933,神火股份,19.37,-1.68,88233924.0,3.18,7550972.0,0.27,80682952.0,2.9,130230667.0,4.69,-218464592.0,-7.86
73,600276,恒瑞医药,46.21,1.27,88217103.0,1.83,45968210.0,0.95,42248893.0,0.88,59308002.0,1.23,-147525092.0,-3.06
74,688578,艾力斯,46.77,-2.36,87515429.0,10.47,8158841.0,0.98,79356588.0,9.49,-570267.0,-0.07,-86945160.0,-10.4
75,300777,中简科技,31.71,24.65,85736438.0,2.18,66475108.0,1.69,19261330.0,0.49,85927394.0,2.19,-171663824.0,-4.37
76,601916,浙商银行,2.94,0.0,85381606.0,4.05,243274721.0,11.55,-157893115.0,-7.49,-98953182.0,-4.7,13571577.0,0.64
77,002893,京能热力,10.63,12.96,85175511.0,7.92,62428155.0,5.81,22747356.0,2.12,-14578487.0,-1.36,-70597023.0,-6.57
78,688037,芯源微,110.6,-7.37,84877765.0,3.83,45676649.0,2.06,39201116.0,1.77,40287760.0,1.82,-125165524.0,-5.65
79,002676,顺威股份,5.08,20.38,83969908.0,16.52,96505878.0,18.99,-12535970.0,-2.47,-34623922.0,-6.81,-49345985.0,-9.71
80,603369,今世缘,59.39,0.29,83386483.0,6.32,54277910.0,4.11,29108573.0,2.2,-39973476.0,-3.03,-43413009.0,-3.29
81,002682,龙洲股份,5.45,3.22,81925518.0,4.4,131447383.0,7.05,-49521865.0,-2.66,-78801451.0,-4.23,-3124064.0,-0.17
82,600773,西藏城投,11.81,9.05,81746446.0,12.77,25818100.0,4.03,55928346.0,8.73,3664352.0,0.57,-85410799.0,-13.34
83,603389,亚振家居,8.25,60.82,80820762.0,8.63,74568543.0,7.96,6252219.0,0.67,-62871441.0,-6.71,-17949324.0,-1.92
84,600558,大西洋,4.09,2.25,80193478.0,11.0,-1676455.0,-0.23,81869933.0,11.23,12092982.0,1.66,-92286460.0,-12.66
85,002422,科伦药业,30.24,-0.53,80080509.0,3.66,-23217351.0,-1.06,103297860.0,4.72,-33793939.0,-1.54,-46286568.0,-2.11
86,002712,思美传媒,5.75,4.55,76266362.0,3.97,89178114.0,4.64,-12911752.0,-0.67,-29094455.0,-1.51,-47171906.0,-2.45
87,000156,华数传媒,8.65,12.05,75050585.0,2.08,74739058.0,2.07,311527.0,0.01,-54383506.0,-1.51,-20667070.0,-0.57
88,600159,大龙地产,3.25,15.25,75019341.0,4.96,90290672.0,5.97,-15271331.0,-1.01,-37031738.0,-2.45,-37987605.0,-2.51
89,688036,传音控股,163.3,2.19,73944893.0,3.07,67925980.0,2.82,6018913.0,0.25,-144492979.0,-6.0,70548085.0,2.93
90,300760,迈瑞医疗,279.89,-3.49,73868756.0,1.64,-9513006.0,-0.21,83381762.0,1.85,-16357616.0,-0.36,-57511140.0,-1.27
91,300552,万集科技,31.23,11.54,73620561.0,1.65,16000631.0,0.36,57619930.0,1.29,-65800940.0,-1.47,-7819632.0,-0.18
92,600452,涪陵电力,13.35,2.77,73105357.0,7.71,31304749.0,3.3,41800608.0,4.41,-7271228.0,-0.77,-65834132.0,-6.94
93,002373,千方科技,10.64,-2.21,72888660.0,4.97,1259694.0,0.09,71628966.0,4.88,24352483.0,1.66,-97241144.0,-6.63
94,002078,太阳纸业,14.11,1.8,72826533.0,6.23,26708336.0,2.28,46118197.0,3.94,3401464.0,0.29,-76227997.0,-6.52
95,301486,致尚科技,52.78,11.82,71260136.0,2.57,48507699.0,1.75,22752437.0,0.82,-53163571.0,-1.91,-18096567.0,-0.65
96,603225,新凤鸣,13.98,-0.21,70943031.0,8.08,29673549.0,3.38,41269482.0,4.7,40469215.0,4.61,-111412248.0,-12.69
97,003015,日久光电,13.01,11.77,69988583.0,2.17,125643028.0,3.9,-55654445.0,-1.73,-77032341.0,-2.39,7043759.0,0.22
98,300989,蕾奥规划,18.74,9.91,69514066.0,15.21,91073573.0,19.92,-21559507.0,-4.72,-41303496.0,-9.04,-28210568.0,-6.17
99,300310,宜通世纪,4.55,3.64,68403263.0,5.21,28519517.0,2.17,39883746.0,3.04,-4147903.0,-0.32,-64255359.0,-4.9
100,600398,海澜之家,8.77,5.16,68014776.0,7.0,45562277.0,4.69,22452499.0,2.31,40487362.0,4.17,-108502142.0,-11.17
101,300585,奥联电子,17.73,32.61,67674557.0,3.55,92604876.0,4.85,-24930319.0,-1.31,7439013.0,0.39,-75113569.0,-3.94
102,600028,中国石化,6.22,-0.48,67498756.0,1.91,84394628.0,2.39,-16895872.0,-0.48,14623682.0,0.41,-82122451.0,-2.32
103,688299,长阳科技,11.13,0.18,66850914.0,11.97,23127177.0,4.14,43723737.0,7.83,7979644.0,1.43,-74830558.0,-13.4
104,688072,拓荆科技,187.14,-10.89,66402505.0,2.87,-2453688.0,-0.11,68856193.0,2.98,-114891581.0,-4.97,48489075.0,2.1
105,601595,上海电影,30.59,-2.27,65451101.0,2.49,21294631.0,0.81,44156470.0,1.68,-30702604.0,-1.17,-34748492.0,-1.32
106,600780,通宝能源,7.39,3.5,65050942.0,8.28,22664752.0,2.89,42386190.0,5.4,29708059.0,3.78,-94759001.0,-12.07
107,600511,国药股份,31.77,0.7,65015788.0,4.89,22595517.0,1.7,42420271.0,3.19,-17528330.0,-1.32,-47487456.0,-3.57
108,000965,天保基建,3.17,8.56,64787207.0,5.88,41723566.0,3.78,23063641.0,2.09,-9661609.0,-0.88,-55125598.0,-5.0
109,000786,北新建材,28.61,4.68,64155704.0,3.55,29353901.0,1.63,34801803.0,1.93,27989933.0,1.55,-92145635.0,-5.1
110,603719,良品铺子,17.0,4.17,64107750.0,6.18,75255738.0,7.25,-11147988.0,-1.07,-20967993.0,-2.02,-43139753.0,-4.16
111,603679,华体科技,13.98,18.58,63377777.0,11.54,75234383.0,13.7,-11856606.0,-2.16,-27660314.0,-5.04,-35717462.0,-6.5
112,600519,贵州茅台,1701.64,-0.43,62328832.0,0.3,-308889552.0,-1.51,371218384.0,1.81,-60830768.0,-0.3,-1498063.0,-0.01
113,601186,中国铁建,8.5,-0.12,61948365.0,2.06,-41312429.0,-1.37,103260794.0,3.43,28471234.0,0.95,-90419597.0,-3.01
114,300124,汇川技术,60.23,-1.73,61922844.0,1.8,27798801.0,0.81,34124043.0,0.99,-25370274.0,-0.74,-36552562.0,-1.06
115,000895,双汇发展,25.78,-9.92,61813400.0,1.96,-23401009.0,-0.74,85214409.0,2.7,-96682954.0,-3.06,34869566.0,1.1
116,300394,天孚通信,151.82,-5.53,61271115.0,0.46,53837211.0,0.4,7433904.0,0.06,-280842208.0,-2.09,219571072.0,1.64
117,600023,浙能电力,6.51,7.25,61210082.0,4.02,53175375.0,3.49,8034707.0,0.53,-31001353.0,-2.04,-30208731.0,-1.98
118,002995,天地在线,19.94,1.01,59908893.0,4.8,47591243.0,3.81,12317650.0,0.99,-10784801.0,-0.86,-49124094.0,-3.94
119,600378,昊华科技,32.83,2.88,59524473.0,7.61,21511853.0,2.75,38012620.0,4.86,-7807328.0,-1.0,-51717144.0,-6.61
120,600323,瀚蓝环境,16.26,1.63,59478158.0,9.98,13264437.0,2.23,46213721.0,7.75,5701980.0,0.96,-65180138.0,-10.93
121,603816,顾家家居,36.4,-1.89,58156146.0,8.9,27051062.0,4.14,31105084.0,4.76,-25607310.0,-3.92,-32548840.0,-4.98
122,002343,慈文传媒,8.98,7.16,57793105.0,1.79,83353434.0,2.59,-25560329.0,-0.79,1089273.0,0.03,-58882379.0,-1.83
123,000534,万泽股份,12.64,4.9,57566764.0,6.35,48810605.0,5.38,8756159.0,0.97,2747332.0,0.3,-60314095.0,-6.65
124,000828,东莞控股,10.37,1.97,57444963.0,9.59,49432501.0,8.25,8012462.0,1.34,-9237132.0,-1.54,-48207830.0,-8.05
125,603663,三祥新材,13.56,21.94,57171863.0,2.63,101262934.0,4.66,-44091071.0,-2.03,-15956280.0,-0.73,-41215585.0,-1.9
126,002848,高斯贝尔,9.2,-4.56,56642618.0,6.77,92718726.0,11.08,-36076108.0,-4.31,-47212753.0,-5.64,-9429865.0,-1.13
127,603612,索通发展,12.09,-0.49,56247351.0,5.09,26924119.0,2.44,29323232.0,2.66,28436017.0,2.58,-84683369.0,-7.67
128,002496,辉丰股份,2.25,5.14,55762785.0,8.8,29572795.0,4.67,26189990.0,4.14,-35731818.0,-5.64,-20030965.0,-3.16
129,002984,森麒麟,31.59,4.15,55555387.0,2.54,74820016.0,3.42,-19264629.0,-0.88,8849763.0,0.4,-64405150.0,-2.94
130,600483,福能股份,10.24,5.24,54352461.0,5.43,20225952.0,2.02,34126509.0,3.41,1226030.0,0.12,-55578492.0,-5.55
131,002526,山东矿机,2.83,0.71,54219491.0,6.03,81365778.0,9.04,-27146287.0,-3.02,-39775258.0,-4.42,-14444231.0,-1.61
132,300020,银江技术,7.89,6.48,54009320.0,2.19,5541544.0,0.22,48467776.0,1.96,65651498.0,2.66,-119660819.0,-4.85
133,000408,藏格矿业,29.75,-2.9,53450267.0,2.71,31665386.0,1.61,21784881.0,1.1,-70993121.0,-3.6,17542857.0,0.89
134,300318,博晖创新,5.76,16.6,52815373.0,11.51,36871253.0,8.03,15944120.0,3.47,-157744.0,-0.03,-52657629.0,-11.47
135,603607,京华激光,16.23,8.71,52593179.0,4.19,89643102.0,7.14,-37049923.0,-2.95,-52784077.0,-4.2,190898.0,0.02
136,600761,安徽合力,19.42,-2.12,52402042.0,5.63,12533356.0,1.35,39868686.0,4.28,34867799.0,3.75,-87269840.0,-9.38
137,000157,中联重科,8.03,4.02,52364606.0,2.56,-5365305.0,-0.26,57729911.0,2.82,9887079.0,0.48,-62251691.0,-3.04
138,001696,宗申动力,7.38,1.51,52285624.0,3.31,101892717.0,6.45,-49607093.0,-3.14,-51895104.0,-3.28,-390518.0,-0.02
139,300137,先河环保,5.25,-2.05,52261790.0,15.24,18728318.0,5.46,33533472.0,9.78,-10299356.0,-3.0,-41962434.0,-12.24
140,601969,海南矿业,6.52,1.4,51669364.0,12.93,30820995.0,7.71,20848369.0,5.22,-12005004.0,-3.0,-39664360.0,-9.92
141,002727,一心堂,19.2,-0.31,51202725.0,4.82,4469347.0,0.42,46733378.0,4.4,3349707.0,0.32,-54552433.0,-5.13
142,002885,京泉华,14.94,0.74,51038061.0,5.8,45188092.0,5.13,5849969.0,0.66,-10869147.0,-1.23,-40168913.0,-4.56
143,600649,城投控股,3.54,0.28,50922342.0,13.61,47052485.0,12.58,3869857.0,1.03,-10026290.0,-2.68,-40896050.0,-10.93
144,600657,信达地产,3.65,3.4,50376305.0,4.91,5618992.0,0.55,44757313.0,4.37,-1628185.0,-0.16,-48748118.0,-4.75
145,603004,鼎龙科技,22.92,2.73,49895160.0,2.46,59672751.0,2.94,-9777591.0,-0.48,-1482086.0,-0.07,-48413073.0,-2.39
146,002537,海联金汇,5.96,1.53,49886207.0,5.16,5166126.0,0.53,44720081.0,4.63,44292544.0,4.58,-94178751.0,-9.74
147,601949,中国出版,8.21,-6.06,49323333.0,1.85,35636590.0,1.33,13686743.0,0.51,14781226.0,0.55,-64104557.0,-2.4
148,600011,华能国际,9.15,1.78,49184452.0,2.62,-6211804.0,-0.33,55396256.0,2.95,16525519.0,0.88,-65709973.0,-3.5
149,300107,建新股份,6.52,8.67,49132706.0,2.54,119723198.0,6.2,-70590492.0,-3.66,-37433415.0,-1.94,-11699291.0,-0.61
150,002281,光迅科技,38.52,0.57,48435443.0,0.32,232967091.0,1.53,-184531648.0,-1.22,-304060688.0,-2.0,255625264.0,1.68
151,603179,新泉股份,43.48,2.55,48262867.0,4.65,37008670.0,3.57,11254197.0,1.08,4457893.0,0.43,-52720760.0,-5.08
152,688443,智翔金泰-U,40.35,2.46,47679733.0,16.89,35892431.0,12.71,11787302.0,4.17,-13465782.0,-4.77,-34213948.0,-12.12
153,002166,莱茵生物,7.56,7.85,47466968.0,8.05,41503270.0,7.04,5963698.0,1.01,-4464828.0,-0.76,-43002138.0,-7.29
154,600642,申能股份,7.73,4.32,46436581.0,5.25,22236996.0,2.51,24199585.0,2.73,-6362892.0,-0.72,-40073690.0,-4.53
155,600748,上实发展,3.3,4.43,44776878.0,5.91,22631273.0,2.99,22145605.0,2.92,-5721030.0,-0.75,-39055845.0,-5.15
156,001366,播恩集团,13.69,-1.01,44635673.0,7.58,59611092.0,10.12,-14975419.0,-2.54,-43427423.0,-7.38,-1208247.0,-0.21
157,600129,太极集团,33.88,-1.85,44628860.0,1.47,-18923610.0,-0.62,63552470.0,2.09,33218149.0,1.09,-77847024.0,-2.56
158,603933,睿能科技,15.4,-8.77,44316193.0,3.76,68332439.0,5.79,-24016246.0,-2.04,-87037044.0,-7.38,42720850.0,3.62
159,688631,莱斯信息,67.5,4.46,44016964.0,1.47,-8141552.0,-0.27,52158516.0,1.74,-28558571.0,-0.95,-15458401.0,-0.52
160,300194,福安药业,3.89,2.1,43894399.0,8.18,19859252.0,3.7,24035147.0,4.48,9663351.0,1.8,-53557746.0,-9.98
161,301228,实朴检测,14.7,20.2,43845684.0,4.39,48439613.0,4.85,-4593929.0,-0.46,14819072.0,1.48,-58664754.0,-5.88
162,600984,建设机械,3.09,7.67,43506153.0,4.87,26496806.0,2.96,17009347.0,1.9,23587916.0,2.64,-67094070.0,-7.51
163,002126,银轮股份,18.24,3.05,43466511.0,2.97,13504593.0,0.92,29961918.0,2.04,-58907334.0,-4.02,15440822.0,1.05
164,300808,久量股份,19.76,3.46,43413448.0,4.29,48690888.0,4.81,-5277440.0,-0.52,-62646842.0,-6.19,19233396.0,1.9
165,002420,毅昌科技,5.06,7.2,43321809.0,8.66,29061114.0,5.81,14260695.0,2.85,-10875402.0,-2.17,-32446406.0,-6.49
166,688698,伟创电气,27.2,-12.26,43175686.0,7.63,32423255.0,5.73,10752431.0,1.9,-33923793.0,-5.99,-9251895.0,-1.63
167,601666,平煤股份,12.23,-0.24,42830941.0,1.51,34828108.0,1.23,8002833.0,0.28,41827865.0,1.47,-84658812.0,-2.98
168,600425,青松建化,3.69,-3.91,42804492.0,6.63,2993300.0,0.46,39811192.0,6.17,44516857.0,6.9,-87321349.0,-13.53
169,688686,奥普特,101.0,9.54,42722070.0,4.71,10279611.0,1.13,32442459.0,3.57,-11620933.0,-1.28,-31101137.0,-3.43
170,688195,腾景科技,25.54,-7.23,42698881.0,4.61,24172313.0,2.61,18526568.0,2.0,4285094.0,0.46,-46983975.0,-5.08
171,600988,赤峰黄金,14.86,1.09,42380346.0,1.86,12251829.0,0.54,30128517.0,1.32,21493171.0,0.94,-63873516.0,-2.8
172,301339,通行宝,18.6,1.86,42200884.0,4.09,8797897.0,0.85,33402987.0,3.24,3327826.0,0.32,-45528710.0,-4.41
173,002709,天赐材料,21.78,-0.55,42080402.0,0.85,46934738.0,0.95,-4854336.0,-0.1,958583.0,0.02,-43038994.0,-0.87
174,000599,青岛双星,-,10.68,41450172.0,7.76,10969862.0,2.05,30480310.0,5.71,-6919699.0,-1.3,-34530473.0,-6.46
175,688556,高测股份,31.71,1.02,41309902.0,2.3,-30113095.0,-1.68,71422997.0,3.98,26073878.0,1.45,-67383781.0,-3.76
176,300352,北信源,4.9,6.75,41278193.0,2.67,4159703.0,0.27,37118490.0,2.41,22896840.0,1.48,-64175034.0,-4.16
177,000089,深圳机场,6.72,2.28,40371469.0,7.92,-8988188.0,-1.76,49359657.0,9.68,-5286798.0,-1.04,-35084673.0,-6.88
178,000712,锦龙股份,11.91,-4.95,40207441.0,3.31,78670698.0,6.47,-38463257.0,-3.17,-54409701.0,-4.48,14202261.0,1.17
179,002579,中京电子,8.15,-3.32,40205583.0,4.4,81107186.0,8.89,-40901603.0,-4.48,-65428062.0,-7.17,25222478.0,2.76
180,688220,翱捷科技-U,39.98,-13.8,40074571.0,6.39,3216229.0,0.51,36858342.0,5.88,15505591.0,2.47,-55580162.0,-8.86
181,000603,盛达资源,11.73,-1.59,39802825.0,3.01,86139749.0,6.5,-46336924.0,-3.5,214574.0,0.02,-40017396.0,-3.02
182,002128,电投能源,16.09,0.12,39483965.0,4.49,4130840.0,0.47,35353125.0,4.02,-10038691.0,-1.14,-29445273.0,-3.35
183,000736,中交地产,10.83,2.17,38955867.0,1.29,-12417911.0,-0.41,51373778.0,1.7,14512510.0,0.48,-53468376.0,-1.77
184,000543,皖能电力,8.02,4.7,38906278.0,2.67,11142589.0,0.77,27763689.0,1.91,873904.0,0.06,-39780186.0,-2.73
185,300251,光线传媒,10.33,2.99,38435498.0,1.63,-9543893.0,-0.4,47979391.0,2.03,50116619.0,2.12,-88552111.0,-3.75
186,603006,联明股份,13.31,25.8,38306691.0,11.53,51063698.0,15.37,-12757007.0,-3.84,-23597240.0,-7.1,-14709450.0,-4.43
187,600909,华安证券,4.55,-3.81,38282500.0,5.89,33407082.0,5.14,4875418.0,0.75,-548150.0,-0.08,-37734356.0,-5.81
188,000521,长虹美菱,9.11,7.94,37979098.0,3.28,23051338.0,1.99,14927760.0,1.29,23470877.0,2.03,-61449974.0,-5.3
