序号,代码,名称,最新价,5日涨跌幅,5日主力净流入-净额,5日主力净流入-净占比,5日超大单净流入-净额,5日超大单净流入-净占比,5日大单净流入-净额,5日大单净流入-净占比,5日中单净流入-净额,5日中单净流入-净占比,5日小单净流入-净额,5日小单净流入-净占比
1,000977,浪潮信息,44.35,8.01,2231114400.0,9.19,2267340672.0,9.34,-36226272.0,-0.15,-1586863232.0,-6.54,-644251168.0,-2.65
2,002475,立讯精密,29.75,0.07,672257217.0,3.22,496670017.0,2.38,175587200.0,0.84,-17623152.0,-0.08,-654634048.0,-3.14
3,002625,光启技术,20.28,25.5,622875745.0,7.05,455443393.0,5.15,167432352.0,1.89,-267413728.0,-3.03,-355461997.0,-4.02
4,600031,三一重工,14.45,2.7,555990741.0,7.34,136504922.0,1.8,419485819.0,5.53,-163027303.0,-2.15,-392963463.0,-5.18
5,000333,美的集团,64.58,6.66,547679104.0,4.93,239628352.0,2.16,308050752.0,2.77,-441113056.0,-3.97,-106566064.0,-0.96
6,301536,N星宸,48.1,197.65,409320144.0,32.77,107381094.0,8.6,301939050.0,24.17,65898192.0,5.28,-475218336.0,-38.05
7,601088,中国神华,38.64,2.57,365106920.0,4.99,-84722312.0,-1.16,449829232.0,6.15,-175511696.0,-2.4,-189595264.0,-2.59
8,601899,紫金矿业,16.1,3.07,340393940.0,2.65,173214196.0,1.35,167179744.0,1.3,-264879744.0,-2.06,-75514192.0,-0.59
9,600577,精达股份,5.14,23.56,332493595.0,4.23,293500317.0,3.73,38993278.0,0.5,-31520200.0,-0.4,-300973428.0,-3.83
10,002405,四维图新,8.84,19.62,329735887.0,4.86,159121881.0,2.34,170614006.0,2.51,12151662.0,0.18,-341887569.0,-5.04
11,603501,韦尔股份,98.5,-1.17,305423630.0,6.49,4346243.0,0.09,301077387.0,6.39,129212728.0,2.74,-434636343.0,-9.23
12,300567,精测电子,72.86,-0.46,271412482.0,9.47,181875115.0,6.34,89537367.0,3.12,-133617898.0,-4.66,-137794579.0,-4.81
13,000100,TCL科技,4.66,2.19,254048233.0,4.12,210535241.0,3.42,43512992.0,0.71,-128612800.0,-2.09,-125435463.0,-2.04
14,000725,京东方Ａ,4.03,0.75,249861208.0,3.91,82246039.0,1.29,167615169.0,2.62,-83983030.0,-1.31,-165878203.0,-2.6
15,601728,中国电信,5.98,3.64,241341501.0,6.69,125254731.0,3.47,116086770.0,3.22,11791519.0,0.33,-253133024.0,-7.01
16,603993,洛阳钼业,8.17,5.56,238073336.0,2.91,97555384.0,1.19,140517952.0,1.72,-59318896.0,-0.73,-178754480.0,-2.19
17,000651,格力电器,39.2,3.38,237614040.0,3.27,174013448.0,2.4,63600592.0,0.88,-173827216.0,-2.39,-63786832.0,-0.88
18,603613,国联股份,23.49,10.02,222772449.0,5.5,36260740.0,0.9,186511709.0,4.61,11614977.0,0.29,-234387402.0,-5.79
19,001359,N平安电,33.11,90.4,222266764.0,22.25,43775262.0,4.38,178491502.0,17.87,321456253.0,32.18,-543723008.0,-54.44
20,601225,陕西煤业,25.0,-0.4,218703213.0,3.96,-11598398.0,-0.21,230301611.0,4.17,-32310372.0,-0.59,-186392838.0,-3.38
21,300274,阳光电源,103.2,-0.67,214259327.0,3.01,64474195.0,0.91,149785132.0,2.1,-334186304.0,-4.69,119926944.0,1.68
22,601398,工商银行,5.25,0.57,212399456.0,2.8,-33118896.0,-0.44,245518352.0,3.24,-31209132.0,-0.41,-181190308.0,-2.39
23,601288,农业银行,4.17,0.72,205662227.0,2.49,-223556464.0,-2.71,429218691.0,5.2,-145771183.0,-1.77,-59891062.0,-0.73
24,300280,紫天科技,44.72,14.46,202334232.0,4.03,153156502.0,3.05,49177730.0,0.98,-90001616.0,-1.79,-112332577.0,-2.24
25,000975,银泰黄金,16.92,0.65,201325403.0,9.4,58565287.0,2.73,142760116.0,6.66,-51999768.0,-2.43,-149325632.0,-6.97
26,001979,招商蛇口,9.66,1.9,195477834.0,6.59,121059800.0,4.08,74418034.0,2.51,-58293303.0,-1.97,-137184521.0,-4.63
27,601168,西部矿业,18.54,0.22,195476511.0,4.93,81458892.0,2.06,114017619.0,2.88,-111983015.0,-2.83,-83493488.0,-2.11
28,601689,拓普集团,63.96,5.23,194091977.0,4.07,60349168.0,1.27,133742809.0,2.8,23179988.0,0.49,-217271970.0,-4.55
29,002352,顺丰控股,36.34,-6.27,186473062.0,4.64,221241416.0,5.5,-34768354.0,-0.86,-194580770.0,-4.84,8107696.0,0.2
30,002151,北斗星通,32.28,5.15,177444062.0,2.45,242484164.0,3.35,-65040102.0,-0.9,-100055339.0,-1.38,-77388731.0,-1.07
31,002371,北方华创,306.69,1.86,173472003.0,1.69,102923859.0,1.0,70548144.0,0.69,-417808.0,0.0,-173054160.0,-1.69
32,300292,吴通控股,3.88,10.86,173083511.0,10.07,188965313.0,11.0,-15881802.0,-0.92,-46167492.0,-2.69,-126916018.0,-7.39
33,601865,福莱特,28.83,1.91,147374413.0,5.94,107540399.0,4.34,39834014.0,1.61,-29100451.0,-1.17,-118273963.0,-4.77
34,603936,博敏电子,8.82,6.52,146519417.0,4.84,168849379.0,5.58,-22329962.0,-0.74,11737161.0,0.39,-158256569.0,-5.23
35,002444,巨星科技,24.46,4.53,143238141.0,6.12,54449189.0,2.33,88788952.0,3.8,110425422.0,4.72,-253663567.0,-10.85
36,603496,恒为科技,30.1,-2.27,143066574.0,2.13,162356982.0,2.42,-19290408.0,-0.29,-141520550.0,-2.11,-1546042.0,-0.02
37,300750,宁德时代,188.78,-0.16,142472096.0,0.71,64260992.0,0.32,78211104.0,0.39,41680992.0,0.21,-184153056.0,-0.92
