序号,代码,名称,最新价,5日涨跌幅,5日主力净流入-净额,5日主力净流入-净占比,5日超大单净流入-净额,5日超大单净流入-净占比,5日大单净流入-净额,5日大单净流入-净占比,5日中单净流入-净额,5日中单净流入-净占比,5日小单净流入-净额,5日小单净流入-净占比
1,002364,中恒电气,6.35,-1.4,34671457.0,4.34,6900829.0,0.86,27770628.0,3.48,45622057.0,5.72,-80293514.0,-10.06
2,688719,爱科赛博,45.58,-12.68,32013500.0,9.02,7502586.0,2.11,24510914.0,6.91,17575097.0,4.95,-49588599.0,-13.98
3,601727,上海电气,4.2,-1.41,25256489.0,4.58,20012303.0,3.63,5244186.0,0.95,-13541828.0,-2.45,-11714662.0,-2.12
4,301327,华宝新能,62.15,1.39,24351776.0,5.13,-109665.0,-0.02,24461441.0,5.16,7060047.0,1.49,-31411825.0,-6.62
5,300820,英杰电气,51.39,-4.85,15785474.0,1.39,30159414.0,2.65,-14373940.0,-1.26,19637926.0,1.72,-35423402.0,-3.11
6,301386,未来电器,20.54,-6.04,10919438.0,7.44,11793281.0,8.03,-873843.0,-0.6,-7143968.0,-4.86,-3775469.0,-2.57
7,600405,动力源,4.62,-6.67,2062028.0,0.3,8317718.0,1.23,-6255690.0,-0.92,-20124292.0,-2.97,18062266.0,2.66
8,688551,科威尔,50.17,-10.92,438850.0,0.22,-1396654.0,-0.69,1835504.0,0.91,17835704.0,8.81,-18274555.0,-9.03
9,300153,科泰电源,6.34,-6.21,-1503449.0,-0.93,-1050615.0,-0.65,-452834.0,-0.28,1617053.0,1.0,-113603.0,-0.07
10,002851,麦格米特,23.95,-7.78,-5324383.0,-1.41,-7989109.0,-2.12,2664726.0,0.71,-27758055.0,-7.37,33082439.0,8.78
11,300713,英可瑞,14.19,-5.46,-7973142.0,-2.1,699592.0,0.18,-8672734.0,-2.29,-15114962.0,-3.99,23088106.0,6.09
12,600202,哈空调,4.85,-3.96,-8429553.0,-4.82,2415981.0,1.38,-10845534.0,-6.2,-3638773.0,-2.08,12068326.0,6.9
13,300376,易事特,5.93,-4.82,-9074609.0,-2.07,-2069571.0,-0.47,-7005038.0,-1.59,-11600912.0,-2.64,20675518.0,4.71
14,002665,首航高科,2.14,-6.96,-11166685.0,-2.57,4070330.0,0.94,-15237015.0,-3.51,-15280355.0,-3.52,26447041.0,6.09
15,002534,西子洁能,10.2,-7.86,-12524253.0,-6.57,-5126142.0,-2.69,-7398111.0,-3.88,1004771.0,0.53,11519484.0,6.04
16,300105,龙源技术,5.96,-3.4,-16627705.0,-6.03,-4548990.0,-1.65,-12078715.0,-4.38,8826624.0,3.2,7801082.0,2.83
17,002227,奥 特 迅,9.63,-7.67,-16721443.0,-4.29,-4970680.0,-1.28,-11750763.0,-3.02,-4193747.0,-1.08,20915193.0,5.37
18,300491,通合科技,18.35,-8.2,-18219266.0,-5.06,4944913.0,1.37,-23164179.0,-6.44,-9487070.0,-2.64,27706337.0,7.7
19,300693,盛弘股份,29.75,-3.16,-22679800.0,-1.59,-16242628.0,-1.14,-6437172.0,-0.45,38896793.0,2.73,-16216996.0,-1.14
20,301516,中远通,20.2,-7.34,-23081216.0,-2.78,-6852990.0,-0.83,-16228226.0,-1.95,-14953510.0,-1.8,38034727.0,4.58
21,300593,新雷能,9.91,-11.99,-26744090.0,-4.81,-10265049.0,-1.85,-16479041.0,-2.96,15484349.0,2.78,11259739.0,2.02
22,002630,华西能源,2.61,-2.25,-34808428.0,-4.8,837056.0,0.12,-35645484.0,-4.92,18137815.0,2.5,16670614.0,2.3
23,600475,华光环能,11.07,-7.6,-41955663.0,-7.5,-30698177.0,-5.49,-11257486.0,-2.01,-8797916.0,-1.57,50753582.0,9.07
24,002255,海陆重工,5.01,-7.9,-42363693.0,-9.78,-8073026.0,-1.86,-34290667.0,-7.91,-3660015.0,-0.84,46023709.0,10.62
25,002366,融发核电,4.49,-7.04,-43560338.0,-9.44,-11047128.0,-2.4,-32513210.0,-7.05,87248.0,0.02,43473090.0,9.43
26,600875,东方电气,15.45,-2.83,-49854483.0,-3.83,-22673486.0,-1.74,-27180997.0,-2.09,-4431862.0,-0.34,54286342.0,4.17
27,300870,欧陆通,44.02,-12.31,-95406004.0,-9.94,-11121413.0,-1.16,-84284591.0,-8.78,12719730.0,1.33,82686274.0,8.62
28,002518,科士达,23.4,-8.67,-118785210.0,-8.94,-26711839.0,-2.01,-92073371.0,-6.93,24430725.0,1.84,94354488.0,7.1
29,002335,科华数据,28.77,-1.51,-197652356.0,-4.68,-123960139.0,-2.94,-73692217.0,-1.75,62813851.0,1.49,134838511.0,3.19
